title,author_name,author_position,author_id
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,julian mcauley,2,35660011
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,weili guan,3,15880069
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,xiaojun chang,4,144950946
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,xianzhi wang,5,2107924437
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,wanwei he,0,66583249
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,yinpei dai,1,30087809
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,min yang,2,2144399900
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,jian sun,3,2152147863
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,fei huang,4,2087380523
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,luo si,5,2059080424
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,yongbin li,6,1527090216
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,shuanghong shen,0,1830440271
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,zhenya huang,1,3374015
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,qi liu,2,50384171
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,yu su,3,145244891
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,shijin wang,4,2144180493
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,enhong chen,5,2227868312
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,yinghui li,0,2110503552
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,yangning li,1,98177814
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,yuxin he,2,2163738241
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,tianyu yu,3,47369404
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,ying shen,4,143822679
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,hai-tao zheng,5,16215052
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,yuxiang zhang,0,2119595262
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,tao jiang,1,
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,tianyu yang,2,
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,xiaoli li,3,
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,suge wang,4,
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,hanshuang tong,0,6735774
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,zhen wang,1,2118452539
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,qi liu,2,
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,yun zhou,3,2118116372
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,shiwei tong,4,
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,wenyuan han,5,
Tag-assisted Multimodal Sentiment Analysis under Uncertain Missing Modalities,jiandian zeng,0,8749832
Tag-assisted Multimodal Sentiment Analysis under Uncertain Missing Modalities,tianyi liu,1,2636832
Tag-assisted Multimodal Sentiment Analysis under Uncertain Missing Modalities,jiantao zhou,2,2125555913
Progressive Learning for Image Retrieval with Hybrid-Modality Queries,yida zhao,0,50976845
Progressive Learning for Image Retrieval with Hybrid-Modality Queries,yuqing song,1,40280182
Progressive Learning for Image Retrieval with Hybrid-Modality Queries,qin jin,2,1721329
Unify Local and Global Information for Top-N Recommendation,xiaoming liu,0,40134592
Unify Local and Global Information for Top-N Recommendation,shaocong wu,1,2112538764
Unify Local and Global Information for Top-N Recommendation,zhaohan zhang,2,2156119744
Unify Local and Global Information for Top-N Recommendation,chao shen,3,2154740036
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,weijie yu,0,2118684861
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,zhongxiang sun,1,2109820280
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,jun xu,2,2150636233
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,zhenhua dong,3,3065080
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,xu chen,4,1734206
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,hongteng xu,5,2146235527
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,ji-rong wen,6,2113341834
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,xin sun,0,2109230437
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,xuan wang,1,39849136
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,jialin gao,2,2149257316
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,qiong liu,3,2165545102
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,xi zhou,4,50177639
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,zhihong chen,0,2144309151
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,jiawei wu,1,7162217
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,chenliang li,2,2136338739
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,jingxu chen,3,2108523908
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,rong xiao,4,144875143
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,binqiang zhao,5,14545267
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,zheng chai,0,2175276148
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,zhihong chen,1,2144309151
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,chenliang li,2,2136338739
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,rong xiao,3,144875143
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,houyi li,4,2175933849
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,jiawei wu,5,7162217
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,jingxu chen,6,2108523908
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,haihong tang,7,144465837
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,xuemeng song,0,33977299
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,liqiang jing,1,2175279662
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,dengtian lin,2,2175321239
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,zhongzhou zhao,3,41019706
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,haiqing chen,4,2765043
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,liqiang nie,5,143982887
"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",giacomo balloccu,0,2163452228
"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",ludovico boratto,1,1824224
"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",mirko marras,2,28922901
"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",gianni fenu,3,40433308
Multi-Level Interaction Reranking with User Behavior History,yunjia xi,0,2056826850
Multi-Level Interaction Reranking with User Behavior History,weiwen liu,1,2130051800
Multi-Level Interaction Reranking with User Behavior History,jieming zhu,2,2108997533
Multi-Level Interaction Reranking with User Behavior History,xilong zhao,3,2163050574
Multi-Level Interaction Reranking with User Behavior History,xinyi dai,4,2105646417
Multi-Level Interaction Reranking with User Behavior History,ruiming tang,5,2824766
Multi-Level Interaction Reranking with User Behavior History,rui zhang,6,2163112250
Multi-Level Interaction Reranking with User Behavior History,weinan zhang,7,2108309275
Multi-Level Interaction Reranking with User Behavior History,yong yu,8,2156098229
Mutual Disentanglement Learning for Joint Fine-Grained Sentiment Classification and Controllable Text Generation,hao fei,0,46959445
Mutual Disentanglement Learning for Joint Fine-Grained Sentiment Classification and Controllable Text Generation,chenliang li,1,2136338739
Mutual Disentanglement Learning for Joint Fine-Grained Sentiment Classification and Controllable Text Generation,donghong ji,2,145628086
Mutual Disentanglement Learning for Joint Fine-Grained Sentiment Classification and Controllable Text Generation,fei li,3,2109530930
CenterCLIP: Token Clustering for Efficient Text-Video Retrieval,shuai zhao,0,2111305643
CenterCLIP: Token Clustering for Efficient Text-Video Retrieval,linchao zhu,1,2948393
CenterCLIP: Token Clustering for Efficient Text-Video Retrieval,xiaohan wang,2,2109074276
CenterCLIP: Token Clustering for Efficient Text-Video Retrieval,yi yang,3,7607499
User-controllable Recommendation Against Filter Bubbles,wenjie wang,0,2117833732
User-controllable Recommendation Against Filter Bubbles,fuli feng,1,2163400298
User-controllable Recommendation Against Filter Bubbles,liqiang nie,2,143982887
User-controllable Recommendation Against Filter Bubbles,tat-seng chua,3,143779329
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,jiangxia cao,0,2115871859
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,xixun lin,1,46519974
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,xin cong,2,2024380701
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,jing ya,3,7172853
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,tingwen liu,4,2079682
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,bin wang,5,1864982637
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,tong chen,0,1490931831
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,hongzhi yin,1,47064303
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,jing long,2,2161605203
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,nguyen quoc viet hung,3,144133815
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,yang wang,4,2155651371
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,meng wang,5,2146059429
Multimodal Entity Linking with Gated Hierarchical Fusion and Contrastive Training,peng wang,0,2155303586
Multimodal Entity Linking with Gated Hierarchical Fusion and Contrastive Training,jiangheng wu,1,2145109089
Multimodal Entity Linking with Gated Hierarchical Fusion and Contrastive Training,xiaohang chen,2,2109197810
A Review-aware Graph Contrastive Learning Framework for Recommendation,jie shuai,0,48597603
A Review-aware Graph Contrastive Learning Framework for Recommendation,kun zhang,1,2119017233
A Review-aware Graph Contrastive Learning Framework for Recommendation,le wu,2,2688093
A Review-aware Graph Contrastive Learning Framework for Recommendation,peijie sun,3,2075416674
A Review-aware Graph Contrastive Learning Framework for Recommendation,richang hong,4,48043335
A Review-aware Graph Contrastive Learning Framework for Recommendation,meng wang,5,2146058571
A Review-aware Graph Contrastive Learning Framework for Recommendation,yong li,6,2154403289
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,junliang yu,0,28584977
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,hongzhi yin,1,47064303
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,xin xia,2,2077454936
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,tong chen,3,1490931831
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,lizhen cui,4,101457473
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,quoc viet hung nguyen,5,144133815
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,xin xia,0,2077454936
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,hongzhi yin,1,47064303
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,junliang yu,2,28584977
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,qinyong wang,3,2108993397
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,guandong xu,4,2149131224
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,quoc viet hung nguyen,5,1925773
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,yu bai,0,144843219
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,heyan huang,1,4590286
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,kai fan,2,2053962725
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,yang gao,3,145644809
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,yiming zhu,4,2118339267
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,jiaao zhan,5,2160712727
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,zewen chi,6,46221722
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,boxing chen,7,2229601
Multi-Agent RL-based Information Selection Model for Sequential Recommendation,kaiyuan li,0,2158260214
Multi-Agent RL-based Information Selection Model for Sequential Recommendation,pengfei wang,1,2108237336
Multi-Agent RL-based Information Selection Model for Sequential Recommendation,chenliang li,2,2829009
Structure and Semantics Preserving Document Representations,natraj raman,0,32319713
Structure and Semantics Preserving Document Representations,sameena shah,1,36532736
Structure and Semantics Preserving Document Representations,manuela veloso,2,2058284590
Knowledge Graph Contrastive Learning for Recommendation,yuhao yang,0,2134819645
Knowledge Graph Contrastive Learning for Recommendation,chao huang,1,2110926729
Knowledge Graph Contrastive Learning for Recommendation,lianghao xia,2,1830455155
Knowledge Graph Contrastive Learning for Recommendation,chenliang li,3,2829009
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,fangye wang,0,2107614843
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,yingxu wang,1,2108810047
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,dongsheng li,2,2108481070
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,hansu gu,3,1759997
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,tun lu,4,1711569
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,peng zhang,5,47243067
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,ning gu,6,39341617
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,adam block,0,21590875
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,rahul kidambi,1,1891978
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,daniel hill,2,2113373342
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,thorsten joachims,3,1680188
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,inderjit dhillon,4,1783667
Joint Multisided Exposure Fairness for Recommendation,haolun wu,0,107747459
Joint Multisided Exposure Fairness for Recommendation,bhaskar mitra,1,2064033905
Joint Multisided Exposure Fairness for Recommendation,chen ma,2,74142381
Joint Multisided Exposure Fairness for Recommendation,fernando diaz,3,2164035897
Joint Multisided Exposure Fairness for Recommendation,xue liu,4,2151058626
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,yu tian,0,2152949018
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,jianxin chang,1,2630544
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,yanan niu,2,2164092924
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,yang song,3,2157996254
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,chenliang li,4,2829009
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,xinyu zou,0,2067661395
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,zhi hu,1,2167132467
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,yiming zhao,2,2167265615
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,xuchu ding,3,31261271
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,zhongyi liu,4,2145285454
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,chenliang li,5,2829009
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,aixin sun,6,1735962
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,xin xin,0,36528303
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,tiago pimentel,1,1388571351
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,alexandros karatzoglou,2,1713164
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,pengjie ren,3,1749477
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,konstantina christakopoulou,4,2192607
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,zhaochun ren,5,2780667
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,haitian yang,0,2118697511
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,xuan zhao,1,2145742718
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,yan wang,2,2152546433
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,min li,3,2145625388
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,wei chen,4,2283009
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,weiqing huang,5,2144904188
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,wenqiang lei,0,39165620
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,yao zhang,1,1611287648
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,feifan song,2,66947198
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,hongru liang,3,46822058
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,jiaxin mao,4,3340223
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,jiancheng lv,5,2075420316
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,zhenglu yang,6,2149231521
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,tat-seng chua,7,143779329
Single-shot Embedding Dimension Search in Recommender System,liang qu,0,2056322340
Single-shot Embedding Dimension Search in Recommender System,yonghong ye,1,2114058468
Single-shot Embedding Dimension Search in Recommender System,ningzhi tang,2,2161660776
Single-shot Embedding Dimension Search in Recommender System,lixin zhang,3,2144156527
Single-shot Embedding Dimension Search in Recommender System,yuhui shi,4,2152862030
Single-shot Embedding Dimension Search in Recommender System,hongzhi yin,5,47064303
Learning to Infer User Implicit Preference in Conversational Recommendation,chenhao hu,0,2118956998
Learning to Infer User Implicit Preference in Conversational Recommendation,shuhua huang,1,2175334186
Learning to Infer User Implicit Preference in Conversational Recommendation,yansen zhang,2,2177377528
Learning to Infer User Implicit Preference in Conversational Recommendation,yubao liu,3,2108289820
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,qian dong,0,2053111975
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,yiding liu,1,2108021633
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,suqi cheng,2,2111102795
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,shuaiqiang wang,3,2386396
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,zhicong cheng,4,2788612
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,shuzi niu,5,2944201
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,dawei yin,6,50559722
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,junda wu,0,2146666303
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,zhihui xie,1,2114115577
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,tong yu,2,2148832584
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,handong zhao,3,7574699
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,ruiyi zhang,4,1390533012
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,shuai li,5,1491648207
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,siqi lai,0,2175278345
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,erli meng,1,1404347393
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,fan zhang,2,2153307623
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,chenliang li,3,2136338739
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,bin wang,4,2222324593
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,aixin sun,5,1735962
IR Evaluation and Learning in the Presence of Forbidden Documents,david carmel,0,1751914
IR Evaluation and Learning in the Presence of Forbidden Documents,nachshon cohen,1,2898845
IR Evaluation and Learning in the Presence of Forbidden Documents,amir ingber,2,34766724
IR Evaluation and Learning in the Presence of Forbidden Documents,elad kravi,3,1681183
Target-aware Abstractive Related Work Generation with Contrastive Learning,xiuying chen,0,46772896
Target-aware Abstractive Related Work Generation with Contrastive Learning,hind alamro,1,1753416672
Target-aware Abstractive Related Work Generation with Contrastive Learning,mingzhe li,2,9255404
Target-aware Abstractive Related Work Generation with Contrastive Learning,shen gao,3,2112311595
Target-aware Abstractive Related Work Generation with Contrastive Learning,rui yan,4,2055864368
Target-aware Abstractive Related Work Generation with Contrastive Learning,xin gao,5,2118502950
Target-aware Abstractive Related Work Generation with Contrastive Learning,xiangliang zhang,6,2928371
Geometric Disentangled Collaborative Filtering,yiding zhang,0,93506381
Geometric Disentangled Collaborative Filtering,chaozhuo li,1,2869810
Geometric Disentangled Collaborative Filtering,xing xie,2,2110972816
Geometric Disentangled Collaborative Filtering,xiao wang,3,2118449003
Geometric Disentangled Collaborative Filtering,chuan shi,4,2151458697
Geometric Disentangled Collaborative Filtering,yuming liu,5,2108104523
Geometric Disentangled Collaborative Filtering,hao sun,6,2118180377
Geometric Disentangled Collaborative Filtering,liangjie zhang,7,2146643615
Geometric Disentangled Collaborative Filtering,weiwei deng,8,2066621592
Geometric Disentangled Collaborative Filtering,qi zhang,9,153441709
Exploring Modular Task Decomposition in Cross-domain Named Entity Recognition,xinghua zhang,0,49468918
Exploring Modular Task Decomposition in Cross-domain Named Entity Recognition,bowen yu,1,2110705766
